class,precision,sensitivity,f1,specificity,accuracy,mcc,dor,TP,FP,FN,TN,anno_set,classifier,metric_type,organ,magnification,model,dropoutFraction,layerDepth,numberOfEpochs,trainPercent,validationPercent,patience,checkPointAccuracy,augmentColor,augmentGeometry,balanceClasses,elasticDeform,fixedDataSeed,augmentation,overlapPredict,pretrained,focalLoss,filterSize,kernelIncrease,normalization,magLayers,model_name,backbone_name,encoder_freeze,decoder_use_batchnorm,middleBlocks,loss,optimizer,learningRate,useFP16,useAllGPUs,time_evaluated,balance only,balance + elastic
Background,0.905771853,0.955759326,0.930094436,0.982210756,0.97819642,0.917653813,1192.817505,10380438,1079885,480495,59624494,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Tissue,0.9351337,0.980597725,0.957326238,0.731888935,0.930268661,0.773863096,137.9649173,55975709,3882800,1107545,10599258,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Lesions,0.854629179,0.058172253,0.108929945,0.999472641,0.951843891,0.215658113,117.0600464,210649,35831,3410476,67908356,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,color,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
Background,0.848717152,0.951853216,0.897331385,0.969644052,0.966944069,0.879759151,631.4969027,10338014,1842739,522919,58861640,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,FALSE
Tissue,0.953407197,0.95805875,0.955727314,0.815451298,0.929200504,0.779158297,100.934076,54689111,2672645,2394143,11809413,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,FALSE
Lesions,0.722412415,0.403548069,0.517830135,0.99173579,0.961974147,0.522763215,81.19223361,1461298,561505,2159827,67382682,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"color, balance",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,FALSE
Background,0.836394704,0.977791871,0.901583061,0.96578003,0.967602978,0.886189847,1242.604882,10619732,2077302,241201,58627077,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Tissue,0.958549134,0.95602558,0.957285694,0.837045191,0.93194854,0.790028259,111.6737534,54573051,2359921,2510203,12122137,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Lesions,0.769322784,0.411163658,0.535910551,0.993429445,0.963967446,0.546692793,105.5735451,1488875,446431,2132250,67497756,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_0_BC_1_ED_1_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"color, balance, elastic",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,TRUE
Background,0.922865038,0.949411528,0.935950086,0.985802408,0.980279636,0.924428361,1303.101152,10311495,861856,549438,59842523,Heart_Lesions_10x_Static200618_Cons3,Heart_Lesions_10x_Static200618_Cons3_AE_ResNet50_DO_0.2_AC_1_AG_1_BC_0_ED_0_MN_loss_2020_6_18_19_57,pixel,Heart,10,AE_ResNet50,0.2,,30,70,15,30,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,"color, geo",TRUE,TRUE,TRUE,,,,,,,,,,,,,,,,FALSE,
